accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,tmp
0.026,-0.092,0.234,0.595,0.313,-0.504,7.008
0.047,-0.160,0.411,1.198,0.796,-0.653,12.264
0.063,-0.211,0.548,1.689,1.543,-0.352,16.198
0.075,-0.250,0.653,1.969,2.161,0.072,19.141
0.083,-0.279,0.734,2.164,2.270,0.409,21.361
0.089,-0.301,0.796,2.291,2.096,0.681,23.015
0.093,-0.318,0.843,2.245,1.896,0.892,24.267
0.096,-0.331,0.878,2.126,1.559,0.913,25.222
0.099,-0.340,0.906,1.927,1.089,0.899,25.916
0.100,-0.346,0.926,1.644,0.855,0.957,26.439
0.100,-0.350,0.942,1.237,0.939,1.019,26.833
0.098,-0.353,0.956,0.679,1.250,1.081,27.121
0.094,-0.356,0.968,-0.101,1.781,1.273,27.341
0.089,-0.360,0.976,-1.187,2.160,1.286,27.517
0.083,-0.362,0.978,-2.424,2.151,1.118,27.652
0.079,-0.363,0.974,-3.669,1.926,0.934,27.750
0.075,-0.365,0.964,-4.741,2.028,0.902,27.815
0.071,-0.367,0.952,-5.525,2.136,0.707,27.871
0.068,-0.369,0.940,-5.918,1.900,0.275,27.901
0.067,-0.369,0.930,-5.981,1.505,-0.305,27.936
0.068,-0.367,0.923,-5.631,0.778,-0.973,27.960
0.073,-0.365,0.918,-4.971,-0.104,-1.551,27.970
0.080,-0.361,0.916,-4.339,-0.658,-1.758,27.981
0.086,-0.358,0.916,-3.850,-0.757,-1.597,27.992
0.091,-0.356,0.917,-3.452,-0.411,-1.274,28.011
0.092,-0.355,0.919,-3.185,0.195,-0.910,28.012
0.093,-0.355,0.920,-2.923,0.746,-0.652,28.009
0.092,-0.356,0.919,-2.547,0.949,-0.516,28.011
0.093,-0.356,0.916,-2.139,0.910,-0.490,28.020
0.096,-0.356,0.912,-1.658,0.839,-0.444,28.029
0.099,-0.357,0.908,-0.950,1.003,-0.199,28.037
0.101,-0.358,0.908,-0.048,1.493,0.198,28.053
0.101,-0.360,0.913,0.907,1.753,0.656,28.050
0.101,-0.362,0.919,1.894,1.471,0.931,28.037
0.103,-0.362,0.928,2.771,0.989,1.290,28.040
0.103,-0.361,0.937,3.334,0.753,1.933,28.036
0.103,-0.361,0.943,3.440,0.897,2.751,28.038
0.102,-0.362,0.948,3.003,1.650,3.609,28.044
0.099,-0.364,0.952,2.176,2.577,4.337,28.033
0.093,-0.366,0.953,1.361,3.059,4.741,28.033
0.088,-0.368,0.949,0.788,2.821,4.693,28.032
0.085,-0.371,0.942,0.446,2.436,4.482,28.036
0.083,-0.373,0.937,0.239,2.132,4.300,28.029
0.082,-0.375,0.931,0.183,1.515,4.034,28.037
0.083,-0.377,0.927,0.332,0.831,3.713,28.046
0.084,-0.377,0.926,0.646,0.246,3.445,28.044
0.087,-0.377,0.927,1.213,-0.209,3.320,28.056
0.090,-0.376,0.931,1.834,-0.729,3.238,28.044
0.093,-0.374,0.937,2.364,-1.127,3.268,28.033
0.095,-0.371,0.944,2.651,-1.059,3.505,28.029
0.094,-0.367,0.949,2.530,-0.691,3.671,28.026
0.093,-0.364,0.953,2.054,0.024,3.776,28.023
0.090,-0.362,0.957,1.472,0.892,3.885,28.023
0.089,-0.362,0.955,0.909,1.123,3.788,28.023
0.090,-0.362,0.951,0.510,1.235,3.616,28.023
0.091,-0.362,0.949,0.329,1.785,3.723,28.021
0.091,-0.362,0.949,0.384,1.931,3.957,28.014
0.089,-0.363,0.950,0.884,1.410,4.067,28.020
0.087,-0.362,0.953,1.502,0.966,4.279,28.037
0.085,-0.361,0.956,1.932,0.709,4.583,28.033
0.083,-0.360,0.961,2.216,0.688,4.941,28.037
0.079,-0.361,0.964,2.109,1.112,5.477,28.026
0.073,-0.363,0.965,1.543,1.605,5.925,28.031
0.066,-0.366,0.961,0.845,2.001,5.978,28.035
0.060,-0.368,0.954,0.210,2.421,5.701,28.028
0.056,-0.371,0.948,-0.301,2.869,5.089,28.035
0.055,-0.374,0.944,-0.531,3.354,4.328,28.026
0.055,-0.376,0.942,-0.562,3.496,3.490,28.029
0.058,-0.377,0.940,-0.342,3.115,2.698,28.036
0.062,-0.377,0.937,0.110,2.756,2.176,28.029
0.066,-0.376,0.936,0.690,2.559,1.838,28.035
0.069,-0.377,0.938,1.307,2.500,1.730,28.042
0.071,-0.376,0.941,1.862,2.333,1.572,28.033
0.072,-0.374,0.945,2.309,2.131,1.305,28.047
0.073,-0.371,0.949,2.472,2.221,1.131,28.043
0.073,-0.368,0.952,2.293,2.478,0.952,28.040
0.073,-0.366,0.954,1.880,2.931,0.908,28.030
0.072,-0.364,0.957,1.357,3.489,0.906,28.028
0.069,-0.364,0.959,0.838,3.926,0.817,28.039
0.066,-0.365,0.959,0.308,4.124,0.586,28.043
0.064,-0.365,0.958,-0.143,4.261,0.291,28.038
0.063,-0.363,0.958,-0.374,4.199,-0.003,28.036
0.063,-0.362,0.959,-0.437,3.940,-0.102,28.041
0.061,-0.359,0.960,-0.324,3.466,-0.061,28.035
0.060,-0.358,0.961,-0.056,2.741,-0.030,28.034
0.058,-0.357,0.961,0.240,2.037,0.065,28.041
0.056,-0.356,0.959,0.299,1.581,0.163,28.039
0.055,-0.356,0.956,0.159,1.613,0.321,28.045
0.055,-0.356,0.954,-0.171,2.084,0.580,28.045
0.055,-0.356,0.952,-0.712,2.719,0.905,28.051
0.053,-0.358,0.951,-1.202,3.433,1.240,28.062
0.050,-0.360,0.952,-1.466,4.162,1.628,28.062
0.045,-0.363,0.953,-1.562,4.301,1.710,28.056
0.041,-0.366,0.956,-1.389,3.962,1.378,28.058
0.040,-0.367,0.957,-1.232,3.521,0.926,28.055
0.039,-0.367,0.956,-1.134,2.927,0.454,28.045
0.037,-0.367,0.955,-1.026,2.444,0.005,28.048
0.035,-0.367,0.953,-1.102,2.165,-0.477,28.040
0.034,-0.367,0.950,-1.170,1.998,-1.091,28.024
0.035,-0.367,0.947,-1.232,1.914,-1.818,28.032
0.038,-0.367,0.944,-1.359,1.741,-2.558,28.033
0.043,-0.366,0.941,-1.374,1.634,-3.110,28.041
0.048,-0.366,0.939,-1.344,1.741,-3.473,28.046
0.052,-0.366,0.938,-1.191,1.802,-3.754,28.046
0.056,-0.365,0.937,-0.806,1.680,-4.063,28.046
0.061,-0.365,0.939,-0.337,1.420,-4.296,28.041
0.067,-0.363,0.942,0.091,1.118,-4.317,28.048
0.074,-0.361,0.945,0.431,0.820,-4.131,28.046
0.079,-0.359,0.949,0.563,0.863,-3.583,28.042
0.082,-0.357,0.951,0.468,1.254,-2.748,28.028
0.083,-0.357,0.954,0.248,1.830,-1.779,28.033
0.083,-0.358,0.957,-0.001,2.239,-0.930,28.026
0.082,-0.358,0.961,-0.180,2.374,-0.174,28.024
0.080,-0.358,0.962,-0.234,2.154,0.388,28.029
0.078,-0.358,0.963,-0.164,1.631,0.864,28.036
0.076,-0.357,0.964,-0.054,1.124,1.507,28.042
0.072,-0.358,0.963,-0.014,0.694,2.210,28.046
0.068,-0.359,0.963,-0.011,0.360,2.902,28.052
0.062,-0.359,0.961,-0.115,0.190,3.524,28.037
0.058,-0.359,0.958,-0.430,0.070,4.040,28.032
0.055,-0.360,0.953,-0.792,0.072,4.679,28.033
0.052,-0.360,0.949,-1.227,0.271,5.104,28.037
0.048,-0.362,0.948,-1.829,0.772,5.588,28.037
0.044,-0.363,0.948,-2.379,1.220,6.389,28.038
0.039,-0.367,0.948,-2.636,1.129,7.582,28.044
0.032,-0.373,0.949,-2.484,0.797,9.309,28.045
0.021,-0.379,0.951,-2.016,0.751,11.745,28.039
-0.003,-0.391,0.957,-1.684,1.662,13.927,28.045
-0.057,-0.413,0.969,-0.938,3.811,13.865,28.048
-0.141,-0.444,0.992,-0.605,5.920,9.078,28.045
-0.267,-0.486,1.024,-1.175,7.894,-3.180,28.042
-0.445,-0.537,1.055,-4.496,9.760,-28.881,28.037
-0.605,-0.558,1.033,-13.994,8.824,-72.081,28.034
-0.674,-0.555,1.001,-25.327,1.347,-116.591,28.039
-0.613,-0.521,0.948,-33.114,-13.650,-149.974,28.043
-0.427,-0.447,0.910,-41.225,-19.394,-175.011,28.052
-0.165,-0.360,0.874,-47.579,-13.114,-193.789,28.045
0.080,-0.306,0.847,-45.783,-7.103,-207.872,28.039
0.274,-0.259,0.820,-37.330,-7.247,-205.095,28.043
0.397,-0.218,0.800,-25.341,-9.996,-190.611,28.058
0.459,-0.179,0.807,-13.155,-12.066,-171.317,28.051
0.493,-0.137,0.852,-4.667,-11.271,-151.205,28.062
0.523,-0.098,0.913,-2.119,-7.980,-130.843,28.060
0.575,-0.060,0.971,-5.097,-3.981,-108.167,28.068
0.647,-0.024,1.015,-11.773,-0.314,-81.068,28.059
0.718,0.003,1.039,-19.158,3.650,-48.003,28.048
0.757,0.014,1.032,-24.876,9.436,-10.044,28.056
0.760,0.016,1.004,-27.417,14.127,29.742,28.048
0.736,0.002,0.961,-25.387,16.744,70.211,28.044
0.690,-0.020,0.908,-18.620,16.134,109.624,28.039
0.625,-0.049,0.863,-7.446,14.475,144.750,28.052
0.535,-0.093,0.837,7.095,13.822,171.095,28.061
0.404,-0.148,0.844,22.771,15.832,190.854,28.065
0.229,-0.222,0.849,34.834,20.095,205.673,28.064
0.034,-0.268,0.857,41.561,23.274,214.804,28.060
-0.128,-0.329,0.864,40.514,26.665,207.897,28.057
-0.254,-0.397,0.892,34.435,25.541,182.843,28.056
-0.320,-0.450,0.917,29.460,19.003,148.021,28.050
-0.312,-0.468,0.926,25.042,7.851,111.027,28.057
-0.257,-0.466,0.934,19.682,-2.382,80.106,28.053
-0.185,-0.452,0.939,14.288,-6.466,58.893,28.051
-0.122,-0.438,0.939,9.693,-5.705,45.544,28.046
-0.086,-0.433,0.938,6.972,-3.423,37.081,28.054
-0.076,-0.432,0.934,6.451,-2.579,30.910,28.060
-0.078,-0.430,0.933,7.479,-4.583,24.885,28.053
-0.076,-0.425,0.937,9.025,-8.090,18.889,28.048
-0.067,-0.416,0.946,10.498,-10.755,13.655,28.051
-0.051,-0.404,0.960,11.374,-11.825,9.867,28.058
-0.027,-0.390,0.974,11.294,-11.510,7.263,28.057
-0.005,-0.376,0.984,10.180,-10.301,5.573,28.055
0.014,-0.363,0.989,8.509,-8.256,5.027,28.059
0.031,-0.354,0.993,6.882,-5.688,5.454,28.060
0.040,-0.347,0.995,5.444,-2.965,6.281,28.050
0.043,-0.345,0.995,4.255,-1.002,7.230,28.057
0.042,-0.344,0.993,3.367,-0.225,7.961,28.068
0.040,-0.345,0.986,2.727,-0.199,8.123,28.073
0.038,-0.346,0.977,2.221,-0.039,7.955,28.074
0.034,-0.349,0.969,1.826,0.318,7.283,28.069
0.030,-0.352,0.962,1.408,-0.357,6.016,28.060
0.030,-0.354,0.957,0.957,-1.916,4.519,28.062
0.032,-0.355,0.953,0.450,-3.445,3.286,28.062
0.034,-0.356,0.951,-0.193,-4.439,2.747,28.051
0.034,-0.357,0.951,-0.847,-4.791,2.732,28.056
0.029,-0.360,0.952,-1.631,-4.998,2.935,28.053
0.031,-0.362,0.954,-3.143,-5.214,4.251,28.058
0.036,-0.366,0.959,-4.148,-4.143,3.627,28.053
0.033,-0.369,0.957,-4.718,-3.191,2.365,28.051
0.036,-0.370,0.954,-5.088,-2.718,1.068,28.062
0.040,-0.371,0.952,-5.167,-2.332,-0.088,28.052
0.044,-0.371,0.949,-4.818,-1.906,-0.952,28.059
0.048,-0.371,0.947,-4.064,-1.571,-1.557,28.060
0.052,-0.371,0.947,-3.235,-1.086,-1.870,28.057
0.055,-0.370,0.948,-2.510,-0.528,-2.101,28.056
0.058,-0.368,0.949,-1.886,-0.053,-2.236,28.054
0.061,-0.365,0.951,-1.476,0.701,-2.124,28.062
0.063,-0.362,0.953,-1.221,1.674,-1.719,28.064
0.063,-0.359,0.955,-1.084,2.504,-1.083,28.066
0.060,-0.357,0.956,-1.008,3.317,-0.316,28.073
0.056,-0.356,0.957,-0.851,3.900,0.400,28.068
0.049,-0.357,0.958,-0.570,3.963,0.724,28.073
0.042,-0.359,0.959,-0.259,3.575,0.558,28.080
0.037,-0.360,0.959,-0.256,3.078,0.209,28.074
0.035,-0.361,0.958,-0.508,2.702,-0.183,28.069
0.034,-0.361,0.955,-0.843,2.515,-0.599,28.073
0.034,-0.360,0.953,-1.213,2.371,-0.961,28.059
0.036,-0.360,0.952,-1.600,2.137,-1.144,28.056
0.039,-0.361,0.952,-1.933,1.752,-1.110,28.054
0.042,-0.362,0.951,-2.217,1.363,-0.939,28.052
0.044,-0.363,0.948,-2.483,1.179,-0.663,28.056
0.045,-0.365,0.946,-2.664,1.167,-0.298,28.054
0.046,-0.365,0.943,-2.632,0.886,-0.010,28.068
0.048,-0.366,0.941,-2.352,0.421,0.191,28.078
0.049,-0.366,0.940,-1.920,0.155,0.269,28.072
0.050,-0.367,0.939,-1.578,0.067,0.377,28.070
0.050,-0.368,0.940,-1.263,0.134,0.516,28.068
0.049,-0.369,0.942,-0.963,0.219,0.585,28.076
0.048,-0.370,0.944,-0.707,0.225,0.718,28.069
0.048,-0.371,0.945,-0.511,0.100,0.847,28.071
0.048,-0.372,0.947,-0.318,-0.093,1.048,28.081
0.047,-0.372,0.947,-0.197,-0.134,1.305,28.070
0.046,-0.372,0.947,-0.106,-0.021,1.597,28.078
0.044,-0.372,0.948,0.112,0.046,1.789,28.082
0.043,-0.371,0.949,0.355,-0.222,1.762,28.079
0.043,-0.370,0.950,0.510,-0.784,1.680,28.085
0.044,-0.369,0.952,0.474,-1.111,1.737,28.083
0.044,-0.368,0.953,0.188,-0.917,1.963,28.074
0.043,-0.368,0.954,-0.348,-0.467,2.228,28.071
0.040,-0.369,0.953,-0.883,-0.236,2.259,28.073
0.038,-0.369,0.949,-1.162,-0.387,1.954,28.070
0.038,-0.369,0.946,-1.265,-0.523,1.683,28.066
0.040,-0.369,0.945,-1.292,-0.510,1.674,28.062
0.041,-0.368,0.944,-1.255,-0.730,1.832,28.064
0.042,-0.367,0.943,-1.121,-1.090,2.011,28.065
0.040,-0.368,0.943,-0.867,-1.229,2.138,28.069
0.037,-0.368,0.942,-0.757,-1.258,2.100,28.061
0.036,-0.368,0.942,-0.747,-1.497,1.789,28.065
0.037,-0.367,0.941,-0.713,-1.894,1.376,28.061
0.039,-0.366,0.940,-0.756,-1.859,1.150,28.063
0.042,-0.366,0.939,-0.999,-1.078,1.218,28.065
0.043,-0.367,0.941,-1.371,-0.114,1.425,28.057
0.045,-0.368,0.942,-1.643,0.342,1.519,28.056
0.046,-0.369,0.943,-1.598,0.165,1.590,28.060
0.048,-0.369,0.944,-1.344,-0.174,1.872,28.058
0.048,-0.370,0.944,-1.126,-0.592,2.442,28.071
0.049,-0.372,0.944,-0.929,-0.906,3.148,28.069
0.049,-0.374,0.944,-0.448,-0.844,3.315,28.077
0.047,-0.375,0.945,-0.035,-0.793,3.353,28.070
0.046,-0.376,0.949,0.226,-0.831,3.343,28.066
0.046,-0.376,0.953,0.341,-0.856,3.271,28.069
0.046,-0.377,0.955,0.428,-0.875,3.216,28.071
0.046,-0.376,0.959,0.317,-0.675,3.275,28.071
0.047,-0.374,0.962,0.173,-0.533,3.399,28.063
0.047,-0.373,0.964,0.069,-0.499,3.538,28.073
0.048,-0.371,0.965,-0.082,-0.443,3.802,28.070
0.048,-0.370,0.964,-0.264,-0.336,4.237,28.060
0.048,-0.368,0.960,-0.385,-0.256,4.789,28.073
0.048,-0.366,0.956,-0.407,-0.013,5.660,28.082
0.049,-0.364,0.953,-0.252,0.380,6.779,28.081
0.050,-0.364,0.952,0.166,0.468,7.726,28.076
0.049,-0.362,0.951,0.655,0.141,8.554,28.077
0.049,-0.362,0.950,1.010,-0.047,9.614,28.081
0.048,-0.363,0.950,1.143,0.320,11.023,28.088
0.046,-0.364,0.950,1.014,0.694,12.775,28.080
0.041,-0.368,0.955,0.760,1.116,15.158,28.077
0.017,-0.381,0.966,0.303,2.826,17.769,28.081
-0.048,-0.405,0.996,-0.815,6.955,18.819,28.081
-0.183,-0.452,1.052,-3.370,14.495,14.466,28.086
-0.434,-0.528,1.135,-8.127,23.276,-2.521,28.088
-0.765,-0.610,1.128,-16.832,29.667,-41.658,28.089
-1.053,-0.637,1.092,-30.078,24.777,-93.774,28.096
-1.155,-0.565,1.042,-44.769,3.598,-132.861,28.102
-0.933,-0.398,1.014,-61.218,-16.992,-162.176,28.096
-0.499,-0.257,1.007,-77.054,-19.492,-184.163,28.089
0.026,-0.163,0.980,-88.184,-12.207,-200.653,28.090
0.487,-0.091,0.922,-91.707,-14.048,-213.020,28.097
0.772,-0.009,0.868,-88.089,-16.254,-190.731,28.104
0.869,0.059,0.838,-79.662,-10.835,-144.548,28.098
0.849,0.065,0.806,-69.766,-0.943,-95.384,28.093
0.802,0.039,0.783,-58.851,2.808,-56.099,28.091
0.745,0.013,0.771,-45.661,0.789,-26.315,28.082
0.682,-0.013,0.768,-30.231,-2.675,-2.225,28.087
0.630,-0.049,0.762,-15.444,-5.285,18.492,28.083
0.601,-0.090,0.759,-2.217,-7.861,36.609,28.089
0.588,-0.129,0.756,10.467,-9.220,54.335,28.077
0.576,-0.164,0.751,22.267,-8.629,73.259,28.091
0.563,-0.192,0.753,32.146,-6.494,94.471,28.093
0.541,-0.212,0.759,40.686,-2.646,118.246,28.099
0.503,-0.223,0.769,48.427,1.180,143.234,28.106
0.442,-0.224,0.792,54.271,4.912,167.716,28.103
0.352,-0.222,0.822,57.974,8.378,188.319,28.093
0.237,-0.226,0.867,59.950,12.074,203.772,28.099
0.096,-0.254,0.926,59.817,19.017,215.361,28.088
-0.065,-0.322,0.966,57.642,29.767,216.578,28.083
-0.213,-0.384,0.985,51.823,34.615,202.334,28.090
-0.296,-0.436,0.991,44.665,29.110,174.056,28.099
-0.309,-0.464,0.994,37.231,18.107,140.233,28.097
-0.272,-0.468,0.996,30.969,8.833,110.785,28.104
-0.218,-0.463,0.993,26.498,3.903,89.639,28.108
-0.167,-0.460,0.987,23.507,1.175,75.527,28.100
-0.132,-0.456,0.978,22.161,-1.973,66.439,28.101
-0.114,-0.451,0.973,21.892,-5.881,60.551,28.097
-0.118,-0.449,0.975,22.194,-8.789,56.318,28.094
-0.137,-0.450,0.981,22.195,-10.088,51.635,28.084
-0.157,-0.451,0.986,20.898,-10.321,45.200,28.089
-0.166,-0.447,0.989,18.506,-9.852,37.304,28.094
-0.159,-0.438,0.993,15.746,-8.190,29.280,28.098
-0.141,-0.425,0.995,12.824,-5.773,22.357,28.103
-0.118,-0.412,0.995,10.164,-3.558,17.073,28.095
-0.090,-0.400,0.997,8.306,-2.077,13.373,28.087
-0.065,-0.387,1.000,6.901,-0.882,11.408,28.088
-0.047,-0.377,1.001,5.737,0.491,11.151,28.088
-0.037,-0.372,0.999,5.055,2.097,11.703,28.081
-0.034,-0.368,0.995,4.860,3.168,12.201,28.088
-0.035,-0.365,0.990,4.813,3.243,12.342,28.090
-0.037,-0.363,0.984,4.865,2.909,12.165,28.095
-0.039,-0.362,0.976,4.347,2.464,10.864,28.092
-0.036,-0.359,0.971,3.379,1.337,9.304,28.101
-0.034,-0.357,0.968,1.840,0.365,7.616,28.109
-0.034,-0.358,0.967,0.353,-0.058,5.681,28.105
-0.032,-0.358,0.967,-1.010,-0.624,3.490,28.098
-0.028,-0.356,0.967,-2.357,-1.727,1.282,28.101
-0.022,-0.354,0.967,-3.680,-2.483,-0.550,28.101
-0.016,-0.353,0.967,-4.764,-2.263,-1.974,28.101
-0.013,-0.353,0.967,-5.634,-1.728,-3.351,28.099
-0.010,-0.351,0.966,-6.485,-1.792,-4.753,28.104
-0.007,-0.351,0.962,-7.074,-2.050,-5.912,28.097
-0.004,-0.350,0.956,-7.172,-1.854,-6.789,28.106
0.001,-0.350,0.952,-7.020,-1.459,-7.237,28.109
0.004,-0.349,0.949,-6.639,-1.430,-7.199,28.119
0.007,-0.349,0.948,-6.010,-1.122,-6.563,28.124
0.005,-0.350,0.946,-4.935,-0.556,-5.815,28.126
0.001,-0.351,0.942,-3.590,-0.627,-5.556,28.126
0.001,-0.352,0.939,-2.529,-0.741,-5.461,28.110
0.003,-0.352,0.937,-1.954,0.315,-4.958,28.116
0.005,-0.352,0.936,-1.671,2.087,-4.059,28.118
0.006,-0.351,0.933,-1.151,3.103,-3.109,28.118
0.006,-0.352,0.929,-0.237,3.679,-2.099,28.118
0.004,-0.352,0.933,0.796,4.290,-1.078,28.121
0.001,-0.353,0.938,1.578,4.336,-0.083,28.115
-0.005,-0.356,0.942,2.340,3.660,0.537,28.107
-0.010,-0.359,0.945,3.094,2.673,0.536,28.102
-0.013,-0.361,0.951,3.264,1.936,0.326,28.110
-0.014,-0.362,0.956,2.593,1.799,0.286,28.117
-0.016,-0.365,0.960,1.479,2.075,0.291,28.102
-0.016,-0.366,0.962,0.598,1.831,0.035,28.106
-0.013,-0.366,0.962,0.109,0.907,-0.130,28.120
-0.008,-0.367,0.961,-0.186,-0.148,-0.082,28.118
-0.004,-0.368,0.959,-0.273,-0.931,0.064,28.127
-0.001,-0.369,0.957,-0.052,-1.336,0.002,28.123
0.002,-0.366,0.956,0.167,-1.639,-0.197,28.131
0.005,-0.363,0.958,0.316,-1.722,-0.167,28.139
0.007,-0.362,0.963,0.447,-1.826,-0.083,28.140
0.009,-0.360,0.966,0.190,-2.320,-0.104,28.132
0.011,-0.360,0.966,-0.395,-2.278,0.067,28.132
0.013,-0.360,0.966,-0.968,-1.277,0.420,28.142
0.011,-0.360,0.962,-1.543,-0.691,0.716,28.138
0.010,-0.361,0.957,-1.692,-0.858,0.869,28.133
0.008,-0.361,0.951,-1.479,-0.865,1.018,28.135
0.006,-0.361,0.947,-1.140,-0.545,1.313,28.142
0.004,-0.361,0.946,-0.580,-0.619,1.447,28.142
0.002,-0.360,0.945,0.057,-1.071,1.513,28.136
0.000,-0.359,0.946,0.974,-1.651,1.570,28.131
-0.001,-0.356,0.945,1.719,-2.165,1.593,28.126
0.000,-0.355,0.945,2.190,-2.254,1.771,28.120
0.001,-0.353,0.945,2.292,-1.774,2.077,28.119
0.000,-0.352,0.947,2.135,-1.052,2.439,28.138
-0.001,-0.351,0.945,1.895,-0.392,2.787,28.145
-0.003,-0.352,0.945,1.906,0.049,2.865,28.132
-0.004,-0.351,0.945,2.258,-0.009,2.783,28.130
-0.004,-0.349,0.946,2.399,-0.384,2.831,28.119
-0.004,-0.350,0.949,2.590,-0.441,3.318,28.117
-0.005,-0.351,0.951,2.465,-0.617,3.695,28.117
-0.009,-0.354,0.954,2.192,-0.860,3.737,28.127
-0.011,-0.356,0.956,1.877,-0.832,3.253,28.128
