accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp
-0.610,0.541,0.588,-129.389,-134.290,-250.122,29.570
-0.396,0.658,0.499,-152.901,-222.015,-250.122,29.516
-0.241,0.648,0.455,-154.183,-195.359,-236.626,29.570
-0.176,0.598,0.459,-145.328,-134.550,-218.229,29.531
-0.292,0.431,0.495,-140.565,-76.443,-206.870,29.547
-0.221,0.438,0.696,-148.092,-10.351,-219.053,29.539
-0.295,0.378,0.717,-172.198,28.489,-248.107,29.531
-0.091,0.488,0.186,-250.122,-250.122,-250.122,29.539
0.177,0.227,0.374,-250.122,-250.122,-250.122,29.586
0.401,-0.329,1.574,-250.122,-250.122,-250.122,29.586
-0.712,-0.927,2.383,-220.046,250.130,-250.122,29.609
-0.780,-0.355,0.861,-70.870,250.130,-54.412,29.562
-0.458,-0.240,0.660,-172.229,250.130,-50.443,29.586
-0.418,-0.306,1.086,-235.542,250.130,-213.313,29.578
-1.063,-0.610,1.084,-213.160,250.130,-250.122,29.570
-1.947,-0.507,1.344,25.099,250.130,-250.122,29.562
-1.376,-0.336,0.446,67.435,23.145,-223.267,29.625
-1.283,-0.343,0.708,47.435,-14.947,-193.313,29.570
-1.502,-0.392,0.697,50.443,-127.084,-161.740,29.602
-1.246,-0.348,0.489,30.885,-250.122,-170.244,29.547
-1.060,-0.235,0.534,-2.031,-250.122,-178.580,29.617
-0.835,-0.214,0.594,-22.794,-250.122,-176.214,29.578
-0.602,-0.298,0.607,-42.550,-250.122,-185.359,29.578
-0.375,-0.371,0.808,-54.336,-250.122,-189.985,29.609
0.482,-0.584,1.529,-27.038,-250.122,-200.107,29.578
0.949,-0.509,1.048,-6.733,-250.122,-211.924,29.578
1.118,-0.260,0.692,-24.534,-206.947,-184.229,29.594
0.544,-0.362,0.896,-37.389,73.282,-179.176,29.625
-0.113,-0.499,1.069,-20.840,147.359,-165.145,29.570
-0.574,-0.479,0.954,3.344,132.229,-134.656,29.586
-0.282,-0.419,0.783,15.466,89.557,-115.481,29.539
-0.020,-0.438,0.804,8.718,28.168,-113.725,29.516
0.050,-0.511,0.947,8.550,20.107,-114.916,29.570
0.131,-0.544,0.975,12.641,24.260,-114.015,29.508
0.101,-0.534,0.947,11.573,5.527,-120.595,29.594
0.109,-0.436,0.892,8.489,-14.443,-137.328,29.578
0.073,-0.460,0.893,0.931,-9.756,-136.168,29.594
-0.093,-0.432,0.918,-6.962,-10.809,-135.573,29.570
-0.181,-0.473,0.879,-10.260,-10.550,-117.740,29.531
-0.059,-0.497,0.863,-12.015,-20.061,-104.595,29.562
0.013,-0.524,0.904,-9.695,-17.557,-95.221,29.602
0.062,-0.557,0.887,-7.557,-2.626,-86.260,29.578
0.077,-0.572,0.926,-10.855,-0.305,-81.695,29.555
0.119,-0.544,0.976,-6.809,27.710,-73.725,29.547
0.095,-0.481,0.994,0.992,69.313,-65.695,29.531
0.034,-0.411,0.980,3.298,96.076,-54.382,29.555
0.037,-0.310,0.949,-10.275,82.794,-52.412,29.539
0.079,-0.265,0.968,-27.740,61.176,-55.450,29.547
0.164,-0.269,0.943,-34.870,42.840,-71.084,29.539
0.121,-0.313,0.946,-31.084,27.450,-91.084,29.508
0.053,-0.356,0.931,-22.061,20.107,-98.779,29.477
0.035,-0.366,0.872,-13.573,22.046,-100.641,29.578
-0.003,-0.397,0.832,-10.168,25.557,-94.947,29.555
-0.014,-0.422,0.830,-12.244,37.481,-85.130,29.547
0.072,-0.458,0.821,-17.573,65.344,-70.947,29.531
0.064,-0.490,0.850,-17.527,87.466,-63.084,29.547
-0.004,-0.503,0.869,-10.198,100.137,-55.939,29.586
-0.068,-0.486,0.867,1.115,103.695,-44.321,29.523
-0.172,-0.447,0.875,11.115,71.084,-33.313,29.578
-0.157,-0.316,0.852,11.450,5.282,-30.779,29.453
-0.010,-0.261,0.818,1.786,-48.534,-32.641,29.516
0.147,-0.452,0.958,-17.053,-121.115,-50.733,29.492
0.267,-0.504,1.110,-8.366,-117.618,-64.962,29.539
0.311,-0.444,0.898,5.740,3.511,-49.939,29.445
0.045,-0.414,0.917,8.718,46.641,-40.473,29.484
-0.014,-0.423,0.813,6.763,7.359,-47.099,29.516
0.022,-0.384,0.804,-5.084,-33.237,-50.092,29.500
0.102,-0.350,0.894,-10.015,-51.206,-54.198,29.547
0.149,-0.334,0.885,-9.878,-50.046,-60.351,29.477
0.063,-0.344,0.874,-14.031,-71.771,-65.450,29.539
0.151,-0.371,0.964,-14.519,-96.443,-73.771,29.547
0.252,-0.405,1.031,-4.107,-94.885,-84.137,29.461
0.283,-0.353,1.000,3.038,-80.931,-94.260,29.492
0.238,-0.302,0.960,5.130,-53.664,-88.534,29.516
0.174,-0.332,0.977,5.069,-34.672,-78.107,29.523
0.196,-0.287,1.006,7.328,-13.802,-68.092,29.500
0.239,-0.276,0.955,1.115,9.817,-58.015,29.500
0.217,-0.375,0.953,-6.611,27.359,-48.870,29.539
0.184,-0.376,0.968,-9.023,27.328,-39.786,29.523
0.176,-0.382,0.990,-12.458,25.756,-30.611,29.539
0.167,-0.378,0.990,-11.374,25.908,-26.626,29.523
0.204,-0.345,0.990,-7.023,23.176,-27.115,29.539
0.191,-0.326,0.976,0.565,27.023,-25.191,29.531
0.038,-0.059,0.999,8.504,7.756,-10.000,29.547
0.052,-0.281,1.010,8.641,-20.733,4.107,29.539
0.011,-0.392,0.837,4.748,-27.802,-7.389,29.523
-0.002,-0.469,0.787,6.962,-39.145,-35.084,29.500
0.083,-0.450,0.843,11.099,-49.038,-53.313,29.500
0.183,-0.360,0.901,12.534,-34.656,-46.611,29.547
0.207,-0.349,0.908,3.435,-5.389,-30.031,29.531
0.254,-0.407,0.903,-7.450,31.679,-20.168,29.508
0.188,-0.380,0.891,-7.710,58.489,-20.061,29.492
0.114,-0.379,0.851,-10.748,48.794,-16.427,29.523
0.130,-0.384,0.843,-12.290,35.771,-14.580,29.539
0.152,-0.358,0.862,-11.893,28.321,-12.000,29.539
0.177,-0.345,0.874,-9.359,22.351,-15.252,29.508
0.279,-0.312,0.948,-9.771,32.824,-16.061,29.570
0.322,-0.254,1.057,-8.305,81.756,-13.160,29.484
0.181,-0.407,0.983,-4.458,130.626,-2.290,29.508
0.079,-0.572,0.921,0.489,165.298,9.466,29.508
-0.001,-0.475,0.853,-6.275,157.863,13.924,29.531
0.013,-0.440,0.889,-7.588,133.710,12.336,29.555
0.046,-0.416,0.891,1.649,102.992,9.115,29.523
0.050,-0.440,0.821,-0.534,60.000,5.802,29.539
0.061,-0.494,0.888,-8.733,30.733,12.626,29.523
0.061,-0.438,0.992,-16.290,38.916,25.023,29.547
-0.045,-0.533,0.982,-34.718,47.588,29.191,29.516
-0.086,-0.564,0.886,-52.992,42.748,32.229,29.516
-0.114,-0.504,0.879,-58.336,42.580,24.580,29.547
0.026,-0.453,0.924,-61.389,56.840,27.557,29.508
0.088,-0.357,0.970,-62.794,82.260,36.702,29.500
0.051,-0.404,0.932,-54.947,86.840,39.878,29.523
0.009,-0.425,0.936,-39.206,59.695,29.221,29.547
-0.007,-0.380,0.951,-23.786,15.939,4.382,29.531
0.032,-0.450,0.988,-13.527,-26.076,-16.947,29.523
0.092,-0.453,1.040,-10.260,-53.756,-26.565,29.547
0.131,-0.426,1.088,-12.183,-57.832,-34.931,29.531
0.120,-0.412,1.031,-16.672,-48.962,-32.611,29.500
0.119,-0.388,0.956,-17.282,-46.656,-27.908,29.547
0.090,-0.393,0.903,-11.084,-46.809,-25.893,29.570
0.080,-0.385,0.862,-1.817,-50.061,-25.328,29.562
0.067,-0.413,0.869,8.427,-51.466,-27.649,29.539
0.053,-0.432,0.837,13.878,-57.084,-30.962,29.547
-0.008,-0.457,0.791,12.183,-60.183,-22.275,29.523
0.073,-0.448,0.827,-3.359,-33.252,5.786,29.523
0.191,-0.417,0.927,2.992,-41.481,-10.519,29.516
0.138,-0.507,0.873,17.847,-56.794,-22.092,29.523
0.157,-0.477,0.859,20.840,-52.794,-12.763,29.562
0.235,-0.395,0.942,5.573,-38.443,-2.702,29.547
0.301,-0.327,0.997,-11.466,0.931,11.710,29.516
0.228,-0.393,0.909,-15.893,32.382,28.382,29.523
0.069,-0.427,0.794,-23.756,42.015,39.847,29.492
0.031,-0.486,0.803,-27.450,29.450,35.084,29.508
0.036,-0.518,0.866,-20.885,13.863,26.504,29.531
0.093,-0.489,0.891,-12.015,5.618,18.305,29.578
0.118,-0.467,0.864,-8.977,4.000,10.916,29.531
0.156,-0.470,0.851,-8.931,3.038,6.885,29.531
0.161,-0.494,0.854,-9.954,3.237,3.573,29.562
0.119,-0.492,0.812,-14.565,-3.099,-0.427,29.539
0.160,-0.495,0.809,-15.511,-10.260,-2.763,29.570
0.201,-0.466,0.835,-8.702,2.000,3.603,29.508
0.187,-0.483,0.845,0.519,15.069,11.069,29.570
0.180,-0.529,0.825,5.221,3.069,9.145,29.500
0.199,-0.514,0.887,4.137,-6.061,4.031,29.453
0.210,-0.483,0.910,1.374,-1.298,6.305,29.523
0.221,-0.470,0.945,-3.145,4.397,13.969,29.547
0.181,-0.474,0.949,-1.893,7.084,17.969,29.500
0.158,-0.485,0.972,1.267,6.763,17.725,29.516
0.149,-0.490,1.000,3.328,3.053,13.649,29.523
0.160,-0.506,1.050,2.901,-6.153,4.931,29.523
0.169,-0.467,1.045,4.611,-8.672,1.496,29.461
0.168,-0.481,1.008,8.427,-8.977,3.374,29.547
0.134,-0.461,0.986,15.359,-4.046,6.534,29.531
0.143,-0.350,0.980,31.069,-3.954,4.962,29.523
0.119,-0.427,0.906,51.969,-3.908,-8.031,29.477
0.136,-0.556,0.915,67.466,-38.290,-21.282,29.578
0.243,-0.507,0.893,70.366,-48.992,-32.076,29.477
0.402,-0.413,0.785,46.656,27.542,-39.725,29.508
0.131,-0.282,0.882,23.466,46.458,-13.420,29.500
0.126,-0.289,0.893,14.214,27.084,3.893,29.562
0.140,-0.413,0.843,12.870,16.870,4.137,29.508
0.101,-0.467,0.779,11.405,18.168,-3.359,29.445
0.109,-0.455,0.814,9.817,15.099,-13.679,29.562
0.114,-0.438,0.838,14.076,14.901,-26.244,29.508
0.116,-0.421,0.908,12.275,17.649,-32.244,29.547
0.142,-0.427,0.942,9.405,20.351,-36.244,29.531
0.166,-0.430,0.992,2.779,23.740,-40.015,29.539
0.163,-0.399,1.032,-1.588,22.229,-42.779,29.531
0.160,-0.372,1.043,-1.511,17.664,-41.802,29.500
0.157,-0.359,1.064,4.275,13.237,-39.893,29.531
0.150,-0.362,1.086,11.496,8.015,-38.229,29.523
0.156,-0.371,1.134,18.031,0.473,-38.107,29.523
0.113,-0.310,1.133,18.412,-10.351,-37.420,29.523
0.081,-0.295,1.074,14.748,-17.588,-31.740,29.500
0.056,-0.334,1.002,10.351,-17.817,-26.015,29.508
0.058,-0.340,0.951,4.305,-15.756,-23.771,29.523
0.079,-0.313,0.927,-11.344,-5.115,-18.733,29.523
0.091,-0.297,0.911,-29.527,7.450,-8.641,29.516
0.084,-0.292,0.875,-42.015,13.863,3.511,29.539
0.074,-0.303,0.836,-48.702,20.275,15.725,29.539
0.085,-0.340,0.799,-53.038,27.191,23.176,29.555
0.123,-0.363,0.755,-52.672,36.046,21.969,29.523
0.161,-0.365,0.711,-51.008,62.290,23.038,29.500
0.051,-0.414,0.715,-47.573,65.695,22.382,29.492
0.045,-0.432,0.754,-37.420,44.489,12.076,29.516
0.063,-0.435,0.783,-21.664,32.122,2.519,29.492
0.066,-0.430,0.804,-4.626,23.588,0.076,29.547
0.078,-0.433,0.845,7.313,19.802,1.527,29.539
0.060,-0.440,0.891,15.405,17.435,-0.290,29.531
0.056,-0.433,0.913,18.763,16.244,-1.634,29.531
0.046,-0.436,0.945,23.252,17.176,-4.061,29.555
0.068,-0.405,0.953,23.084,23.374,-0.763,29.539
0.076,-0.392,0.970,22.076,32.046,2.015,29.539
0.035,-0.398,0.985,19.405,34.305,5.344,29.539
0.019,-0.406,0.986,17.969,23.786,4.718,29.562
0.035,-0.407,0.983,18.427,16.779,2.427,29.547
0.041,-0.400,0.983,20.412,15.252,0.962,29.492
0.047,-0.384,0.979,22.473,13.023,2.183,29.523
0.050,-0.375,0.974,24.366,11.374,5.374,29.555
0.036,-0.373,0.964,27.115,10.473,8.443,29.555
0.033,-0.387,0.957,28.275,10.046,9.084,29.555
0.037,-0.403,0.963,26.290,9.405,7.328,29.477
0.063,-0.390,0.986,21.160,9.878,5.634,29.562
0.068,-0.364,1.013,13.313,16.718,8.092,29.531
0.042,-0.362,1.018,6.473,25.649,13.969,29.516
0.000,-0.363,1.018,0.794,31.969,20.458,29.523
-0.043,-0.387,1.011,-2.748,36.412,22.275,29.547
-0.092,-0.397,0.988,-4.519,34.351,15.618,29.555
-0.108,-0.394,0.954,-7.328,29.756,8.366,29.516
-0.103,-0.394,0.942,-8.534,28.351,3.588,29.578
-0.091,-0.395,0.923,-7.588,28.412,0.580,29.539
-0.113,-0.396,0.899,-5.679,24.305,-1.740,29.555
-0.118,-0.406,0.899,-2.519,15.328,-5.176,29.586
-0.092,-0.396,0.909,0.611,11.664,-9.771,29.547
-0.083,-0.373,0.906,2.153,11.237,-11.542,29.570
-0.075,-0.369,0.904,3.237,10.366,-9.908,29.539
-0.064,-0.381,0.906,5.267,9.893,-9.099,29.594
-0.056,-0.372,0.912,8.305,9.359,-9.389,29.609
-0.042,-0.361,0.909,10.382,8.321,-8.183,29.562
-0.031,-0.360,0.910,11.237,7.573,-6.336,29.578
-0.022,-0.360,0.917,13.237,6.473,-4.885,29.531
-0.014,-0.361,0.923,16.183,3.664,-3.359,29.531
-0.003,-0.351,0.920,18.122,1.359,-0.809,29.523
-0.006,-0.353,0.931,18.015,-0.107,2.305,29.586
-0.016,-0.358,0.949,18.198,-3.939,4.748,29.586
-0.017,-0.362,0.964,19.008,-6.550,6.733,29.547
-0.031,-0.370,0.984,19.160,-8.687,6.473,29.562
-0.044,-0.372,1.003,17.924,-11.191,3.725,29.578
-0.042,-0.363,1.003,15.420,-11.924,1.939,29.602
-0.023,-0.350,1.017,12.870,-8.687,2.656,29.523
-0.002,-0.341,1.031,10.046,-0.458,4.977,29.578
-0.002,-0.341,1.036,6.412,7.924,7.725,29.562
-0.009,-0.344,1.044,2.702,11.832,10.595,29.570
-0.010,-0.351,1.052,0.168,14.840,13.695,29.547
-0.018,-0.359,1.056,-1.618,17.679,15.099,29.586
-0.039,-0.364,1.051,-2.992,19.160,14.840,29.547
-0.068,-0.366,1.020,-5.053,17.160,13.924,29.594
-0.092,-0.370,0.988,-8.168,14.092,13.053,29.586
-0.140,-0.381,0.936,-10.489,7.405,11.130,29.547
-0.165,-0.387,0.909,-9.542,-6.595,7.008,29.562
-0.145,-0.396,0.901,-6.443,-9.893,-0.137,29.594
-0.136,-0.408,0.896,-3.939,-3.435,-10.427,29.562
-0.093,-0.411,0.899,-0.580,6.061,-18.931,29.570
-0.065,-0.368,0.908,1.206,17.435,-23.252,29.562
-0.066,-0.337,0.898,0.076,18.733,-21.985,29.562
-0.038,-0.328,0.904,-2.214,18.702,-17.481,29.594
-0.040,-0.328,0.928,-3.756,19.603,-12.840,29.602
-0.029,-0.345,0.965,-3.832,16.534,-9.069,29.594
-0.010,-0.338,0.981,-2.901,18.336,-7.221,29.570
-0.012,-0.375,1.013,0.031,20.779,-6.656,29.578
0.009,-0.362,1.029,5.573,33.237,-8.351,29.602
-0.044,-0.328,1.013,8.718,39.374,-8.626,29.609
-0.086,-0.327,0.984,7.130,32.947,-6.275,29.602
-0.120,-0.330,0.976,5.053,17.985,-5.069,29.594
-0.124,-0.334,0.975,4.107,3.374,-4.870,29.625
-0.111,-0.336,0.970,3.191,-6.656,-4.305,29.617
-0.083,-0.334,0.974,2.382,-10.977,-2.458,29.648
-0.064,-0.338,0.975,1.206,-8.595,0.718,29.609
-0.067,-0.349,0.973,-0.031,-3.160,3.466,29.617
-0.085,-0.347,0.960,-2.427,-1.405,4.824,29.633
-0.094,-0.346,0.946,-5.649,-2.763,5.450,29.602
-0.106,-0.344,0.924,-9.328,-4.824,6.794,29.664
-0.119,-0.357,0.913,-11.313,-11.939,7.954,29.633
-0.118,-0.367,0.910,-11.069,-18.519,6.534,29.656
-0.125,-0.375,0.907,-9.282,-24.260,3.282,29.656
-0.106,-0.372,0.905,-6.733,-28.840,1.389,29.664
-0.080,-0.365,0.910,-2.992,-29.053,0.641,29.625
-0.067,-0.365,0.891,0.122,-25.252,1.511,29.648
-0.058,-0.376,0.891,1.115,-19.374,2.412,29.648
-0.051,-0.379,0.911,2.351,-15.511,0.763,29.648
-0.038,-0.356,0.915,3.542,-13.069,-0.656,29.633
-0.034,-0.351,0.929,2.794,-6.962,-0.641,29.609
-0.042,-0.354,0.942,2.290,-1.939,0.656,29.688
-0.035,-0.353,0.967,3.160,2.534,1.542,29.617
-0.016,-0.333,0.993,3.863,9.588,2.122,29.609
-0.018,-0.327,1.001,2.931,15.588,4.290,29.703
-0.035,-0.332,1.011,1.649,15.008,6.779,29.625
-0.038,-0.340,1.023,1.405,9.985,8.458,29.688
-0.035,-0.352,1.036,2.061,6.519,9.023,29.672
-0.043,-0.356,1.032,2.992,3.847,8.824,29.656
-0.053,-0.348,1.012,2.947,1.206,8.672,29.664
-0.066,-0.352,0.991,1.237,-0.580,9.725,29.617
-0.080,-0.367,0.974,-0.611,-2.412,10.794,29.688
-0.076,-0.370,0.956,-3.023,-1.679,9.740,29.695
-0.076,-0.372,0.938,-6.183,3.863,7.908,29.680
-0.082,-0.370,0.929,-8.321,8.244,6.809,29.672
-0.082,-0.367,0.909,-9.069,10.366,6.824,29.695
-0.082,-0.365,0.900,-8.611,10.702,6.412,29.672
-0.087,-0.369,0.901,-6.748,9.115,5.817,29.680
-0.092,-0.370,0.911,-3.740,6.214,5.679,29.695
-0.096,-0.373,0.939,0.015,4.198,5.130,29.688
-0.101,-0.373,0.969,3.084,1.542,4.885,29.656
-0.101,-0.369,0.997,3.985,0.550,3.985,29.742
-0.108,-0.368,1.026,3.328,0.611,2.336,29.719
-0.119,-0.373,1.048,1.985,-1.511,0.840,29.664
-0.104,-0.373,1.068,-0.092,-2.733,-1.450,29.672
-0.086,-0.367,1.067,-2.473,-2.015,-3.710,29.703
-0.069,-0.362,1.052,-5.130,-2.061,-4.870,29.688
-0.047,-0.356,1.027,-8.260,-0.580,-4.092,29.742
-0.040,-0.355,0.996,-10.519,2.626,-2.824,29.742
-0.048,-0.360,0.970,-11.435,4.489,-2.214,29.703
-0.067,-0.362,0.942,-11.298,3.634,-2.824,29.680
-0.078,-0.363,0.908,-11.328,0.061,-4.015,29.656
-0.072,-0.367,0.885,-11.206,-1.725,-4.122,29.688
-0.068,-0.369,0.863,-10.031,0.046,-3.969,29.695
-0.080,-0.370,0.843,-7.298,0.183,-3.405,29.695
-0.076,-0.368,0.828,-4.153,-3.267,-3.084,29.719
-0.068,-0.360,0.821,-1.359,-2.870,-2.183,29.734
-0.072,-0.360,0.828,1.756,-0.855,-0.275,29.680
-0.083,-0.362,0.847,4.718,0.000,1.863,29.742
-0.089,-0.366,0.885,7.023,-1.084,2.351,29.742
-0.087,-0.362,0.926,8.809,-2.107,1.908,29.680
-0.079,-0.356,0.952,8.916,-1.435,2.061,29.727
-0.071,-0.353,0.972,7.725,1.725,2.977,29.711
-0.073,-0.351,0.989,6.901,5.176,3.145,29.781
-0.078,-0.346,1.002,5.649,6.397,2.794,29.773
-0.080,-0.349,1.017,4.443,5.740,2.260,29.742
-0.076,-0.355,1.031,4.779,2.962,1.130,29.727
-0.072,-0.353,1.033,6.397,-1.359,-0.916,29.727
-0.064,-0.352,1.027,6.962,-5.664,-2.275,29.742
-0.053,-0.349,1.020,5.740,-7.603,-2.366,29.758
-0.047,-0.346,1.011,3.908,-5.420,-1.649,29.727
-0.052,-0.350,1.000,2.137,-1.496,-0.840,29.711
-0.063,-0.348,0.981,0.321,-0.046,-0.763,29.742
-0.065,-0.343,0.958,-1.588,-1.160,-0.931,29.695
-0.063,-0.342,0.945,-2.550,-0.366,-0.351,29.781
-0.069,-0.346,0.935,-1.740,0.137,0.153,29.734
-0.072,-0.346,0.927,0.000,-0.977,0.137,29.742
-0.085,-0.351,0.916,1.924,-2.885,-1.023,29.742
-0.095,-0.362,0.920,4.672,-7.481,-2.305,29.734
-0.080,-0.362,0.933,8.214,-10.977,-2.000,29.773
-0.060,-0.349,0.938,9.359,-10.275,-0.687,29.719
-0.052,-0.342,0.941,7.847,-6.595,0.229,29.773
-0.056,-0.349,0.953,7.267,-3.084,1.176,29.758
-0.073,-0.357,0.972,9.466,-0.443,1.527,29.703
-0.087,-0.358,0.989,13.069,-1.145,0.733,29.711
-0.083,-0.354,0.983,14.977,-3.496,-1.069,29.719
-0.087,-0.359,0.969,14.656,-7.527,-2.168,29.734
-0.074,-0.359,0.966,14.962,-12.397,-1.176,29.742
-0.052,-0.350,0.979,15.786,-11.863,1.771,29.750
-0.046,-0.342,1.001,17.069,-7.405,3.542,29.703
-0.059,-0.349,1.008,22.458,-5.084,4.733,29.750
-0.056,-0.353,1.011,27.527,-8.901,4.687,29.734
-0.036,-0.336,1.002,26.901,-14.336,3.786,29.820
-0.016,-0.316,1.014,20.885,-17.511,4.550,29.711
-0.003,-0.312,1.026,15.435,-14.962,5.954,29.758
-0.012,-0.303,1.033,9.466,-8.489,8.183,29.750
-0.033,-0.308,1.042,3.863,-2.290,9.634,29.773
-0.055,-0.315,1.049,-1.588,0.702,8.687,29.766
-0.071,-0.314,1.034,-10.427,3.252,3.038,29.742
-0.083,-0.319,1.006,-13.099,4.519,0.809,29.789
-0.089,-0.318,0.982,-15.023,4.321,0.046,29.781
-0.088,-0.319,0.962,-16.321,4.397,-0.153,29.742
-0.087,-0.318,0.945,-16.809,5.206,-0.763,29.750
-0.088,-0.320,0.926,-16.382,5.725,-1.313,29.812
-0.084,-0.319,0.908,-15.649,6.275,-1.466,29.766
-0.078,-0.319,0.892,-15.267,8.275,-1.573,29.781
-0.090,-0.325,0.881,-14.321,9.008,-2.351,29.750
-0.095,-0.331,0.880,-11.969,6.321,-4.031,29.789
-0.087,-0.326,0.883,-8.977,3.939,-5.389,29.719
-0.077,-0.320,0.896,-5.771,2.427,-5.557,29.750
-0.063,-0.323,0.905,-2.611,1.008,-4.443,29.805
-0.046,-0.323,0.919,-0.229,0.580,-2.947,29.734
-0.041,-0.327,0.939,2.061,2.000,-1.252,29.758
-0.046,-0.325,0.955,3.924,2.977,0.183,29.836
-0.042,-0.323,0.970,4.763,2.947,1.618,29.812
-0.035,-0.313,0.984,5.924,1.664,4.366,29.812
-0.033,-0.317,0.992,8.290,2.336,8.443,29.781
-0.078,-0.348,0.982,10.809,4.702,9.679,29.773
-0.096,-0.357,0.986,11.756,0.397,5.649,29.805
-0.077,-0.349,0.996,10.718,-5.664,-2.534,29.812
-0.057,-0.333,0.985,6.962,-7.389,-5.237,29.805
-0.025,-0.328,0.976,2.916,-4.687,-4.183,29.773
-0.015,-0.324,0.967,-0.947,1.420,-2.595,29.766
-0.024,-0.327,0.967,-4.702,7.130,-2.137,29.805
-0.039,-0.333,0.967,-7.374,9.863,-2.382,29.781
-0.049,-0.331,0.963,-9.771,8.458,-3.466,29.758
-0.040,-0.329,0.967,-12.443,7.450,-4.015,29.781
-0.038,-0.331,0.970,-14.122,7.908,-3.893,29.781
-0.056,-0.327,0.972,-13.176,6.076,-3.771,29.781
-0.085,-0.347,0.965,-9.588,2.641,-4.962,29.773
-0.103,-0.351,0.977,-4.061,-6.137,-8.702,29.805
-0.073,-0.333,0.985,1.435,-13.878,-10.763,29.773
-0.033,-0.318,0.980,3.679,-13.863,-9.420,29.836
-0.016,-0.312,0.975,2.824,-10.275,-5.603,29.805
-0.019,-0.310,0.975,1.786,-8.031,-1.069,29.805
-0.021,-0.310,0.967,0.656,-4.992,4.015,29.805
-0.033,-0.322,0.973,-1.344,0.992,9.664,29.797
-0.036,-0.331,0.975,1.786,9.893,13.878,29.805
-0.057,-0.321,0.956,-0.382,5.863,7.023,29.773
-0.068,-0.335,0.971,-1.374,1.328,2.031,29.797
